[0000]:[t1] Konfiguracja dla jednostki Abrams: fireIntensity = 2.0, pierwszy strzał za: 9
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2500/2500 | Zasięg: 5 |[0000]:[t2] Konfiguracja dla jednostki Abrams: fireIntensity = 2.0, pierwszy strzał za: 9
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 500/500 | Zasięg: 5 |[0008]:[t2] Seria strzałów zakończona: wystrzelono 9 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 500 do 491.
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 491/500 | Zasięg: 5 |[0016]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2498
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2498/2500 | Zasięg: 5 |[0016]:[t1] Z jednostki Abrams może strzelać maks 50 pod-jednostek. Wylosowano 40 do strzału, ale ograniczono do 10 (cel ma 10, ammo=2498).
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2498/2500 | Zasięg: 5 |[0016]:[t1] Seria strzałów zakończona: wystrzelono 10 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2498 do 2488.
STAN GRUPY: Jednostka: Abrams | Aktywne: 50/50 | Amunicja: 2488/2500 | Zasięg: 5 |[0016]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 491
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 491/500 | Zasięg: 5 |[0016]:[t2] Z jednostki Abrams może strzelać maks 10 pod-jednostek. Wylosowano 7 do strzału, ale ograniczono do 7 (cel ma 50, ammo=491).
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 491/500 | Zasięg: 5 |[0016]:[t1] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 49/50. Stracono amunicję: 50
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2438/2500 | Zasięg: 5 |[0016]:[t1] applyDamage: Początkowe jednostki: 50, Aktywne: 49
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2438/2500 | Zasięg: 5 |[0016]:[t1] Została zaatakowana przez t2 na pozycji (40,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2438/2500 | Zasięg: 5 |[0016]:[t2] Seria strzałów zakończona: wystrzelono 7 pocisków. Zniszczono 1 jednostek [t1]. Amunicja spadła z 491 do 484.
STAN GRUPY: Jednostka: Abrams | Aktywne: 10/10 | Amunicja: 484/500 | Zasięg: 5 |[0024]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2438
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2438/2500 | Zasięg: 5 |[0024]:[t1] Z jednostki Abrams może strzelać maks 49 pod-jednostek. Wylosowano 11 do strzału, ale ograniczono do 10 (cel ma 10, ammo=2438).
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2438/2500 | Zasięg: 5 |[0024]:[t2] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 9/10. Stracono amunicję: 49
STAN GRUPY: Jednostka: Abrams | Aktywne: 9/10 | Amunicja: 435/500 | Zasięg: 5 |[0024]:[t2] applyDamage: Początkowe jednostki: 10, Aktywne: 9
STAN GRUPY: Jednostka: Abrams | Aktywne: 9/10 | Amunicja: 435/500 | Zasięg: 5 |[0024]:[t2] Została zaatakowana przez t1 na pozycji (36,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 9/10 | Amunicja: 435/500 | Zasięg: 5 |[0024]:[t1] Seria strzałów zakończona: wystrzelono 10 pocisków. Zniszczono 1 jednostek [t2]. Amunicja spadła z 2438 do 2428.
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2428/2500 | Zasięg: 5 |[0024]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 435
STAN GRUPY: Jednostka: Abrams | Aktywne: 9/10 | Amunicja: 435/500 | Zasięg: 5 |[0024]:[t2] Z jednostki Abrams może strzelać maks 9 pod-jednostek. Wylosowano 1 do strzału, ale ograniczono do 1 (cel ma 49, ammo=435).
STAN GRUPY: Jednostka: Abrams | Aktywne: 9/10 | Amunicja: 435/500 | Zasięg: 5 |[0024]:[t2] Seria strzałów zakończona: wystrzelono 1 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 435 do 434.
STAN GRUPY: Jednostka: Abrams | Aktywne: 9/10 | Amunicja: 434/500 | Zasięg: 5 |[0032]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2428
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2428/2500 | Zasięg: 5 |[0032]:[t1] Z jednostki Abrams może strzelać maks 49 pod-jednostek. Wylosowano 17 do strzału, ale ograniczono do 9 (cel ma 9, ammo=2428).
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2428/2500 | Zasięg: 5 |[0032]:[t2] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 8/10. Stracono amunicję: 48
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 386/500 | Zasięg: 5 |[0032]:[t2] applyDamage: Początkowe jednostki: 10, Aktywne: 8
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 386/500 | Zasięg: 5 |[0032]:[t2] Została zaatakowana przez t1 na pozycji (36,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 386/500 | Zasięg: 5 |[0032]:[t1] Seria strzałów zakończona: wystrzelono 9 pocisków. Zniszczono 1 jednostek [t2]. Amunicja spadła z 2428 do 2419.
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2419/2500 | Zasięg: 5 |[0032]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 386
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 386/500 | Zasięg: 5 |[0032]:[t2] Z jednostki Abrams może strzelać maks 8 pod-jednostek. Wylosowano 5 do strzału, ale ograniczono do 5 (cel ma 49, ammo=386).
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 386/500 | Zasięg: 5 |[0032]:[t2] Seria strzałów zakończona: wystrzelono 5 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 386 do 381.
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 381/500 | Zasięg: 5 |[0040]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2419
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2419/2500 | Zasięg: 5 |[0040]:[t1] Z jednostki Abrams może strzelać maks 49 pod-jednostek. Wylosowano 9 do strzału, ale ograniczono do 8 (cel ma 8, ammo=2419).
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2419/2500 | Zasięg: 5 |[0040]:[t1] Seria strzałów zakończona: wystrzelono 8 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2419 do 2411.
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2411/2500 | Zasięg: 5 |[0040]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 381
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 381/500 | Zasięg: 5 |[0040]:[t2] Z jednostki Abrams może strzelać maks 8 pod-jednostek. Wylosowano 4 do strzału, ale ograniczono do 4 (cel ma 49, ammo=381).
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 381/500 | Zasięg: 5 |[0040]:[t2] Seria strzałów zakończona: wystrzelono 4 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 381 do 377.
STAN GRUPY: Jednostka: Abrams | Aktywne: 8/10 | Amunicja: 377/500 | Zasięg: 5 |[0048]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2411
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2411/2500 | Zasięg: 5 |[0048]:[t1] Z jednostki Abrams może strzelać maks 49 pod-jednostek. Wylosowano 41 do strzału, ale ograniczono do 8 (cel ma 8, ammo=2411).
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2411/2500 | Zasięg: 5 |[0048]:[t2] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 7/10. Stracono amunicję: 47
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 330/500 | Zasięg: 5 |[0048]:[t2] applyDamage: Początkowe jednostki: 10, Aktywne: 7
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 330/500 | Zasięg: 5 |[0048]:[t2] Została zaatakowana przez t1 na pozycji (36,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 330/500 | Zasięg: 5 |[0048]:[t1] Seria strzałów zakończona: wystrzelono 8 pocisków. Zniszczono 1 jednostek [t2]. Amunicja spadła z 2411 do 2403.
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2403/2500 | Zasięg: 5 |[0048]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 330
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 330/500 | Zasięg: 5 |[0048]:[t2] Z jednostki Abrams może strzelać maks 7 pod-jednostek. Wylosowano 2 do strzału, ale ograniczono do 2 (cel ma 49, ammo=330).
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 330/500 | Zasięg: 5 |[0048]:[t2] Seria strzałów zakończona: wystrzelono 2 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 330 do 328.
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 328/500 | Zasięg: 5 |[0056]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2403
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2403/2500 | Zasięg: 5 |[0056]:[t1] Z jednostki Abrams może strzelać maks 49 pod-jednostek. Wylosowano 32 do strzału, ale ograniczono do 7 (cel ma 7, ammo=2403).
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2403/2500 | Zasięg: 5 |[0056]:[t1] Seria strzałów zakończona: wystrzelono 7 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2403 do 2396.
STAN GRUPY: Jednostka: Abrams | Aktywne: 49/50 | Amunicja: 2396/2500 | Zasięg: 5 |[0056]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 328
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 328/500 | Zasięg: 5 |[0056]:[t2] Z jednostki Abrams może strzelać maks 7 pod-jednostek. Wylosowano 6 do strzału, ale ograniczono do 6 (cel ma 49, ammo=328).
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 328/500 | Zasięg: 5 |[0056]:[t1] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 48/50. Stracono amunicję: 49
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2347/2500 | Zasięg: 5 |[0056]:[t1] applyDamage: Początkowe jednostki: 50, Aktywne: 48
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2347/2500 | Zasięg: 5 |[0056]:[t1] Została zaatakowana przez t2 na pozycji (40,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2347/2500 | Zasięg: 5 |[0056]:[t2] Seria strzałów zakończona: wystrzelono 6 pocisków. Zniszczono 1 jednostek [t1]. Amunicja spadła z 328 do 322.
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 322/500 | Zasięg: 5 |[0064]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2347
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2347/2500 | Zasięg: 5 |[0064]:[t1] Z jednostki Abrams może strzelać maks 48 pod-jednostek. Wylosowano 6 do strzału, ale ograniczono do 6 (cel ma 7, ammo=2347).
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2347/2500 | Zasięg: 5 |[0064]:[t1] Seria strzałów zakończona: wystrzelono 6 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2347 do 2341.
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2341/2500 | Zasięg: 5 |[0064]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 322
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 322/500 | Zasięg: 5 |[0064]:[t2] Z jednostki Abrams może strzelać maks 7 pod-jednostek. Wylosowano 7 do strzału, ale ograniczono do 7 (cel ma 48, ammo=322).
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 322/500 | Zasięg: 5 |[0064]:[t2] Seria strzałów zakończona: wystrzelono 7 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 322 do 315.
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 315/500 | Zasięg: 5 |[0072]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2341
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2341/2500 | Zasięg: 5 |[0072]:[t1] Z jednostki Abrams może strzelać maks 48 pod-jednostek. Wylosowano 37 do strzału, ale ograniczono do 7 (cel ma 7, ammo=2341).
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2341/2500 | Zasięg: 5 |[0072]:[t1] Seria strzałów zakończona: wystrzelono 7 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2341 do 2334.
STAN GRUPY: Jednostka: Abrams | Aktywne: 48/50 | Amunicja: 2334/2500 | Zasięg: 5 |[0072]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 315
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 315/500 | Zasięg: 5 |[0072]:[t2] Z jednostki Abrams może strzelać maks 7 pod-jednostek. Wylosowano 4 do strzału, ale ograniczono do 4 (cel ma 48, ammo=315).
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 315/500 | Zasięg: 5 |[0072]:[t1] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 47/50. Stracono amunicję: 48
STAN GRUPY: Jednostka: Abrams | Aktywne: 47/50 | Amunicja: 2286/2500 | Zasięg: 5 |[0072]:[t1] applyDamage: Początkowe jednostki: 50, Aktywne: 47
STAN GRUPY: Jednostka: Abrams | Aktywne: 47/50 | Amunicja: 2286/2500 | Zasięg: 5 |[0072]:[t1] Została zaatakowana przez t2 na pozycji (40,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 47/50 | Amunicja: 2286/2500 | Zasięg: 5 |[0072]:[t2] Seria strzałów zakończona: wystrzelono 4 pocisków. Zniszczono 1 jednostek [t1]. Amunicja spadła z 315 do 311.
STAN GRUPY: Jednostka: Abrams | Aktywne: 7/10 | Amunicja: 311/500 | Zasięg: 5 |[0080]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2286
STAN GRUPY: Jednostka: Abrams | Aktywne: 47/50 | Amunicja: 2286/2500 | Zasięg: 5 |[0080]:[t1] Z jednostki Abrams może strzelać maks 47 pod-jednostek. Wylosowano 30 do strzału, ale ograniczono do 7 (cel ma 7, ammo=2286).
STAN GRUPY: Jednostka: Abrams | Aktywne: 47/50 | Amunicja: 2286/2500 | Zasięg: 5 |[0080]:[t2] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 6/10. Stracono amunicję: 44
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 267/500 | Zasięg: 5 |[0080]:[t2] applyDamage: Początkowe jednostki: 10, Aktywne: 6
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 267/500 | Zasięg: 5 |[0080]:[t2] Została zaatakowana przez t1 na pozycji (36,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 267/500 | Zasięg: 5 |[0080]:[t1] Seria strzałów zakończona: wystrzelono 7 pocisków. Zniszczono 1 jednostek [t2]. Amunicja spadła z 2286 do 2279.
STAN GRUPY: Jednostka: Abrams | Aktywne: 47/50 | Amunicja: 2279/2500 | Zasięg: 5 |[0080]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 267
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 267/500 | Zasięg: 5 |[0080]:[t2] Z jednostki Abrams może strzelać maks 6 pod-jednostek. Wylosowano 6 do strzału, ale ograniczono do 6 (cel ma 47, ammo=267).
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 267/500 | Zasięg: 5 |[0080]:[t1] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 46/50. Stracono amunicję: 47
STAN GRUPY: Jednostka: Abrams | Aktywne: 46/50 | Amunicja: 2232/2500 | Zasięg: 5 |[0080]:[t1] applyDamage: Początkowe jednostki: 50, Aktywne: 46
STAN GRUPY: Jednostka: Abrams | Aktywne: 46/50 | Amunicja: 2232/2500 | Zasięg: 5 |[0080]:[t1] Została zaatakowana przez t2 na pozycji (40,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 46/50 | Amunicja: 2232/2500 | Zasięg: 5 |[0080]:[t2] Seria strzałów zakończona: wystrzelono 6 pocisków. Zniszczono 1 jednostek [t1]. Amunicja spadła z 267 do 261.
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 261/500 | Zasięg: 5 |[0088]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2232
STAN GRUPY: Jednostka: Abrams | Aktywne: 46/50 | Amunicja: 2232/2500 | Zasięg: 5 |[0088]:[t1] Z jednostki Abrams może strzelać maks 46 pod-jednostek. Wylosowano 11 do strzału, ale ograniczono do 6 (cel ma 6, ammo=2232).
STAN GRUPY: Jednostka: Abrams | Aktywne: 46/50 | Amunicja: 2232/2500 | Zasięg: 5 |[0088]:[t1] Seria strzałów zakończona: wystrzelono 6 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2232 do 2226.
STAN GRUPY: Jednostka: Abrams | Aktywne: 46/50 | Amunicja: 2226/2500 | Zasięg: 5 |[0088]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 261
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 261/500 | Zasięg: 5 |[0088]:[t2] Z jednostki Abrams może strzelać maks 6 pod-jednostek. Wylosowano 5 do strzału, ale ograniczono do 5 (cel ma 46, ammo=261).
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 261/500 | Zasięg: 5 |[0088]:[t1] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 45/50. Stracono amunicję: 49
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2177/2500 | Zasięg: 5 |[0088]:[t1] applyDamage: Początkowe jednostki: 50, Aktywne: 45
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2177/2500 | Zasięg: 5 |[0088]:[t1] Została zaatakowana przez t2 na pozycji (40,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2177/2500 | Zasięg: 5 |[0088]:[t2] Seria strzałów zakończona: wystrzelono 5 pocisków. Zniszczono 1 jednostek [t1]. Amunicja spadła z 261 do 256.
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 256/500 | Zasięg: 5 |[0096]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2177
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2177/2500 | Zasięg: 5 |[0096]:[t1] Z jednostki Abrams może strzelać maks 45 pod-jednostek. Wylosowano 19 do strzału, ale ograniczono do 6 (cel ma 6, ammo=2177).
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2177/2500 | Zasięg: 5 |[0096]:[t1] Seria strzałów zakończona: wystrzelono 6 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2177 do 2171.
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2171/2500 | Zasięg: 5 |[0096]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 256
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 256/500 | Zasięg: 5 |[0096]:[t2] Z jednostki Abrams może strzelać maks 6 pod-jednostek. Wylosowano 4 do strzału, ale ograniczono do 4 (cel ma 45, ammo=256).
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 256/500 | Zasięg: 5 |[0096]:[t2] Seria strzałów zakończona: wystrzelono 4 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 256 do 252.
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 252/500 | Zasięg: 5 |[0104]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2171
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2171/2500 | Zasięg: 5 |[0104]:[t1] Z jednostki Abrams może strzelać maks 45 pod-jednostek. Wylosowano 12 do strzału, ale ograniczono do 6 (cel ma 6, ammo=2171).
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2171/2500 | Zasięg: 5 |[0104]:[t1] Seria strzałów zakończona: wystrzelono 6 pocisków. Zniszczono 0 jednostek [t2]. Amunicja spadła z 2171 do 2165.
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2165/2500 | Zasięg: 5 |[0104]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 252
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 252/500 | Zasięg: 5 |[0104]:[t2] Z jednostki Abrams może strzelać maks 6 pod-jednostek. Wylosowano 5 do strzału, ale ograniczono do 5 (cel ma 45, ammo=252).
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 252/500 | Zasięg: 5 |[0104]:[t2] Seria strzałów zakończona: wystrzelono 5 pocisków. Zniszczono 0 jednostek [t1]. Amunicja spadła z 252 do 247.
STAN GRUPY: Jednostka: Abrams | Aktywne: 6/10 | Amunicja: 247/500 | Zasięg: 5 |[0112]:[t1] Grupa t1 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 2165
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2165/2500 | Zasięg: 5 |[0112]:[t1] Z jednostki Abrams może strzelać maks 45 pod-jednostek. Wylosowano 24 do strzału, ale ograniczono do 6 (cel ma 6, ammo=2165).
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2165/2500 | Zasięg: 5 |[0112]:[t2] Jednostka Abrams została uszkodzona. Pozostało aktywnych: 5/10. Stracono amunicję: 41
STAN GRUPY: Jednostka: Abrams | Aktywne: 5/10 | Amunicja: 206/500 | Zasięg: 5 |[0112]:[t2] applyDamage: Początkowe jednostki: 10, Aktywne: 5
STAN GRUPY: Jednostka: Abrams | Aktywne: 5/10 | Amunicja: 206/500 | Zasięg: 5 |[0112]:[t2] Została zaatakowana przez t1 na pozycji (36,00, 8,00)
STAN GRUPY: Jednostka: Abrams | Aktywne: 5/10 | Amunicja: 206/500 | Zasięg: 5 |[0112]:[t1] Seria strzałów zakończona: wystrzelono 6 pocisków. Zniszczono 1 jednostek [t2]. Amunicja spadła z 2165 do 2159.
STAN GRUPY: Jednostka: Abrams | Aktywne: 45/50 | Amunicja: 2159/2500 | Zasięg: 5 |[0112]:[t2] Grupa t2 rozpoczyna ostrzał. Jednostka: Abrams, Obecna amunicja: 206
